chid,top1,top2,top3
10031828,2,15,37
10032024,37,48,39
10032033,37,36,10
10032050,37,2,15
10032059,37,2,15
10032185,37,2,15
10032191,37,15,36
10032250,37,10,15
10032259,36,2,15
10032547,15,2,13
10032634,10,48,13
10032684,37,2,15
10032707,36,19,15
10032729,37,10,15
10032764,37,12,2
10032799,15,37,2
10032953,36,2,15
10033077,2,6,15
10033143,2,37,15
10033160,36,37,10
10033218,10,2,37
10033300,15,2,36
10033335,48,2,37
10033385,2,15,48
10033420,12,26,10
10033425,37,2,19
10033691,36,15,37
10033696,37,2,15
10033723,15,2,18
10033774,15,37,36
10033789,6,37,10
10033914,2,15,18
10033937,10,2,19
10033958,37,26,10
10033976,37,10,15
10034000,37,48,15
10034009,36,37,10
10034092,37,36,2
10034181,13,36,15
10034207,15,37,2
10034260,37,2,15
10034291,10,37,15
10034312,37,2,25
10034325,12,37,15
10034364,48,15,2
10034374,37,48,2
10034421,10,12,25
10034513,37,10,36
10034578,37,2,15
10034596,15,10,37
10034605,48,39,37
10034776,13,15,25
10034832,36,48,37
10034852,2,37,15
10034855,37,15,10
10034895,10,37,12
10034920,2,15,36
10034968,36,37,15
10034980,37,15,2
10034985,2,6,18
10035051,48,37,36
10035066,15,10,37
10035118,36,37,15
10035119,10,37,2
10035159,37,2,15
10035214,37,12,15
10035229,10,37,15
10035246,48,37,15
10035262,37,15,36
10035296,37,15,2
10035351,12,39,37
10035364,15,10,2
10035450,37,2,15
10035600,15,21,18
10035646,37,15,10
10035711,2,10,15
10035991,37,26,2
10036039,37,15,2
10036071,37,2,25
10036117,15,2,48
10036122,37,15,2
10036136,2,18,19
10036155,10,15,21
10036171,36,25,37
10036174,2,19,48
10036447,37,10,36
10036470,2,37,15
10036480,48,12,10
10036514,37,36,10
10036523,37,13,15
10036643,48,15,19
10036717,10,15,19
10036732,37,26,15
10036959,13,37,15
10037020,15,48,2
10037056,15,37,2
10037103,15,2,36
10037128,37,15,2
10037199,48,37,15
10037228,37,15,12
10037314,19,18,36
10037355,37,2,15
10037395,12,48,10
10037404,37,2,15
10037585,10,19,26
10037679,37,25,2
10037720,48,15,2
10037823,37,15,36
10037869,37,15,48
10037892,15,10,19
10037897,36,15,10
10037920,37,12,2
10037932,15,37,25
10038222,37,19,22
10038313,37,15,2
10038497,37,2,21
10038509,10,36,15
10038560,15,13,19
10038616,37,12,48
10038649,37,25,15
10038657,12,37,15
10038667,10,2,22
10038732,15,2,12
10038819,36,15,26
10038827,15,22,36
10038867,13,36,37
10038886,6,21,15
10038903,15,36,2
10038928,48,22,37
10039013,36,15,37
10039041,15,2,37
10039098,6,21,37
10039193,37,25,19
10039222,37,2,48
10039249,10,37,15
10039260,37,15,2
10039270,37,36,15
10039280,37,36,25
10039316,36,37,6
10039344,48,15,37
10039395,2,37,39
10039432,36,6,37
10039435,37,15,2
10039448,10,12,2
10039527,15,37,36
10039588,37,48,10
10039761,36,10,37
10039766,13,10,15
10039806,36,10,19
10039862,15,10,2
10039864,37,6,15
10039919,36,37,22
10039925,10,37,15
10040060,37,15,2
10040083,10,2,37
10040148,15,6,2
10040195,48,13,10
10040205,37,2,15
10040288,36,10,12
10040311,48,19,39
10040395,10,48,15
10040406,37,2,15
10040644,21,15,2
10040704,36,37,15
10040710,37,10,12
10040756,36,12,2
10040847,48,37,10
10040889,15,36,2
10040972,10,37,2
10041000,36,48,15
10041181,37,12,2
10041229,10,12,37
10041262,37,6,2
10041342,37,25,2
10041359,37,15,19
10041396,15,36,37
10041406,37,2,48
10041407,2,10,37
10041423,10,15,36
10041435,37,15,2
10041523,37,36,15
10041530,36,12,10
10041568,15,37,10
10041589,36,37,15
10041633,10,2,37
10041685,13,37,15
10041751,39,37,2
10041788,10,15,13
10041868,12,15,39
10041904,48,10,37
10041911,36,10,15
10042077,12,22,37
10042088,36,37,15
10042259,36,15,37
10042278,37,10,36
10042292,2,15,37
10042384,37,15,10
10042399,12,37,15
10042441,37,2,15
10042475,10,37,15
10042484,13,15,10
10042489,10,37,2
10042512,37,2,15
10042563,37,2,15
10042585,10,12,37
10042603,36,37,15
10042612,36,37,15
10042663,15,2,12
10042669,37,15,2
10042690,37,15,10
10042697,37,2,15
10042880,37,15,6
10042927,37,15,2
10042935,37,48,2
10042983,36,48,10
10043013,36,15,2
10043053,6,2,48
10043078,37,13,19
10043080,37,15,2
10043113,37,15,39
10043253,37,10,36
10043332,37,15,2
10043362,37,15,36
10043379,10,37,15
10043394,15,37,2
10043402,2,15,37
10043456,2,10,18
10043489,25,37,26
10043604,36,37,15
10043645,37,15,2
10043667,36,37,15
10043699,37,15,2
10043726,6,37,25
10043920,10,15,2
10043924,37,10,2
10043953,48,18,2
10043972,37,15,48
10044000,12,10,13
10044046,15,13,2
10044047,37,15,48
10044184,48,37,36
10044235,36,37,10
10044243,2,36,19
10044304,13,36,10
10044376,10,37,48
10044392,37,10,36
10044482,13,19,37
10044492,10,48,19
10044503,37,12,15
10044567,37,21,18
10044573,10,37,15
10044577,10,15,12
10044658,37,15,36
10044714,37,22,2
10044745,37,15,25
10044753,22,18,10
10044852,2,19,6
10044920,37,2,15
10044951,13,15,37
10044964,2,15,37
10045035,37,15,12
10045084,37,2,15
10045086,2,15,10
10045118,36,37,10
10045180,13,15,10
10045186,37,12,18
10045231,10,37,36
10045291,37,10,2
10045339,37,2,15
10045378,37,2,15
10045433,10,39,15
10045436,48,37,15
10045492,48,10,36
10045639,37,2,15
10045771,36,15,37
10045786,10,37,39
10045810,36,10,15
10045824,37,15,2
10045880,37,25,18
10045921,37,2,15
10045925,10,6,2
10045936,10,48,15
10046017,15,48,2
10046106,37,2,12
10046127,10,37,39
10046240,2,37,15
10046242,48,37,36
10046270,37,15,39
10046278,37,18,36
10046287,37,10,2
10046368,2,48,15
10046382,37,19,2
10046509,48,15,10
10046647,15,36,13
10046735,37,48,21
10046772,37,15,36
10046773,37,15,10
10046816,2,37,21
10046843,37,15,19
10046847,36,10,15
10046892,37,2,15
10046911,48,36,15
10046925,10,2,15
10046965,37,48,2
10046978,15,2,19
10046994,37,25,48
10047013,10,2,15
10047051,10,18,2
10047152,10,36,12
10047332,25,19,2
10047656,13,15,10
10047659,48,36,15
10047672,37,48,2
10047678,37,15,2
10047686,37,2,15
10047688,37,15,2
10047711,36,15,10
10047768,15,2,37
10047773,12,10,37
10047814,37,15,2
10047833,36,15,37
10047899,37,12,6
10048022,36,12,37
10048060,37,15,26
10048061,10,37,15
10048277,37,13,15
10048345,36,37,15
10048362,37,19,2
10048377,48,37,15
10048407,21,10,15
10048483,36,48,37
10048509,10,37,15
10048530,37,2,48
10048541,36,25,15
10048546,2,37,15
10048584,36,15,2
10048597,2,37,19
10048675,12,37,15
10048707,48,36,37
10048772,2,15,19
10048800,13,10,15
10048926,13,10,15
10048967,37,2,15
10049064,2,37,10
10049074,36,37,15
10049139,15,37,2
10049144,15,37,12
10049167,37,2,15
10049267,13,10,37
10049376,10,37,15
10049477,25,37,2
10049539,37,10,22
10049697,12,2,15
10049719,2,37,15
10049739,36,15,48
10049803,6,37,15
10049988,15,2,25
10050001,37,2,15
10050017,15,48,37
10050043,37,2,15
10050067,13,48,19
10050116,37,2,15
10050126,37,48,2
10050274,13,22,15
10050276,48,15,37
10050313,13,48,15
10050469,36,15,25
10050495,36,15,37
10050501,37,48,36
10050546,37,10,2
10050581,2,37,10
10050678,10,48,12
10050704,13,10,15
10050708,37,48,36
10050709,48,37,2
10050743,12,37,18
10050844,37,10,15
10050896,15,2,37
10050916,37,2,12
10050920,37,2,12
10050930,10,2,22
10050932,37,15,2
10051043,12,15,10
10051092,10,13,15
10051102,37,26,2
10051110,37,15,2
10051138,36,48,37
10051149,10,37,2
10051223,36,15,12
10051284,37,15,2
10051335,48,15,36
10051344,12,48,37
10051366,37,19,15
10051428,37,15,2
10051474,37,2,15
10051497,37,26,22
10051513,37,15,12
10051552,13,37,10
10051692,36,10,26
10051704,36,10,2
10051714,37,2,15
10051741,2,48,19
10051800,48,2,39
10051922,13,15,12
10051925,37,10,15
10052027,10,22,15
10052067,37,2,10
10052158,37,2,15
10052184,37,6,2
10052266,37,2,26
10052275,37,48,36
10052303,10,2,15
10052403,12,10,2
10052433,2,36,10
10052448,37,15,2
10052490,2,21,25
10052525,10,48,26
10052532,2,37,15
10052553,37,15,36
10052587,37,2,15
10052588,10,48,2
10052597,21,37,12
10052729,36,37,15
10052755,36,10,25
10052783,19,36,15
10052829,2,39,19
10052838,12,37,2
10052843,37,10,15
10053019,2,12,37
10053041,37,15,2
10053112,13,37,15
10053122,37,15,2
10053154,36,37,15
10053192,37,15,2
10053226,36,37,12
10053380,37,15,21
10053442,2,37,15
10053484,37,12,2
10053492,10,37,12
10053545,37,2,21
10053546,37,2,15
10053635,37,15,2
10053678,22,2,15
10053779,36,37,2
10053819,37,15,2
10053940,12,15,10
10053987,37,2,39
10054025,36,10,37
10054123,36,48,37
10054126,12,2,15
10054307,36,37,2
10054394,37,2,15
10054406,15,37,2
10054413,37,19,2
10054421,15,2,39
10054459,13,15,2
10054544,37,10,26
10054608,37,10,15
10054654,36,2,37
10054705,2,12,10
10054733,36,6,2
10054773,37,19,21
10054814,10,36,18
10054889,37,15,36
10054933,37,12,15
10054963,10,12,36
10054988,12,2,15
10055122,37,2,18
10055144,37,2,36
10055200,13,10,48
10055239,48,37,15
10055348,10,15,2
10055356,10,15,2
10055391,10,15,2
10055423,36,37,2
10055484,12,2,10
10055535,48,2,37
10055581,10,18,19
10055587,37,36,15
10055618,37,2,39
10055661,10,19,26
10055723,48,2,15
10055792,37,2,15
10055833,37,15,2
10055882,37,36,10
10055982,37,2,15
10056026,37,36,2
10056081,13,48,15
10056162,25,37,15
10056271,19,2,37
10056341,37,15,2
10056342,13,37,15
10056345,10,12,2
10056382,12,25,15
10056477,15,37,2
10056562,10,37,21
10056674,19,6,48
10056680,37,15,2
10056771,37,2,15
10056780,37,2,15
10056821,13,2,15
10056863,36,37,15
10056903,36,48,15
10056954,10,36,19
10056973,2,15,37
10057011,13,37,48
10057142,37,15,2
10057156,10,37,12
10057225,37,15,36
10057255,2,6,37
10057311,37,15,36
10057375,37,2,15
10057429,48,6,19
10057482,37,12,18
10057596,37,39,2
10057710,10,37,36
10057734,48,10,36
10057744,37,15,2
10057749,37,10,36
10057754,10,2,37
10057779,13,36,48
10057823,13,15,36
10057925,37,10,15
10057980,37,2,15
10057992,2,15,37
10058011,36,15,12
10058122,15,37,2
10058138,10,25,2
10058142,12,39,37
10058169,37,10,2
10058249,48,36,37
10058256,48,37,10
10058290,37,15,2
10058307,22,15,2
10058567,10,48,2
10058588,15,48,2
10058692,37,39,22
10058837,2,18,48
10058874,37,36,2
10058914,36,37,15
10058989,13,15,10
10059012,37,15,2
10059086,36,15,2
10059127,37,13,6
10059133,36,48,10
10059232,36,15,2
10059238,15,48,39
10059299,37,2,48
10059354,37,2,19
10059388,13,48,15
10059462,37,2,15
10059492,10,48,2
10059549,37,2,15
10059557,10,15,2
10059559,39,37,2
10059680,36,15,2
10059747,37,36,10
10059777,36,10,37
10059806,37,2,15
10059819,13,10,15
10059832,10,36,12
10059979,10,37,2
10060003,37,15,21
10060017,22,25,21
10060030,10,37,2
10060047,48,10,36
10060056,48,2,37
10060067,37,18,19
10060098,2,37,15
10060137,37,10,21
10060223,37,10,15
10060228,2,15,37
10060313,10,12,48
10060388,37,2,15
10060450,48,10,37
10060560,37,6,36
10060567,15,2,6
10060584,37,13,15
10060641,37,15,2
10060742,13,15,10
10060748,36,15,48
10060794,36,37,15
10060835,36,6,15
10060920,37,2,25
10060971,2,37,15
10060988,36,48,37
10061010,13,36,15
10061113,36,26,37
10061123,37,15,2
10061161,15,26,39
10061263,37,10,15
10061314,37,36,15
10061386,10,2,36
10061407,37,10,48
10061601,37,26,36
10061649,48,37,2
10061724,36,10,37
10061807,37,10,36
10061909,15,10,36
10061922,39,37,15
10061959,10,13,37
10061991,37,26,21
10062069,10,15,48
10062097,15,2,22
10062163,36,26,15
10062189,37,12,19
10062205,36,37,15
10062217,10,36,15
10062300,2,37,48
10062354,10,36,19
10062380,10,37,39
10062414,10,12,13
10062506,37,48,10
10062524,2,37,15
10062544,10,19,39
10062571,15,2,37
10062621,2,6,10
10062624,15,37,10
10062628,10,37,2
10062636,37,48,10
10062717,2,10,18
10062758,37,15,36
10062810,25,15,37
10062831,37,2,15
10062906,37,48,10
10063031,12,37,2
10063240,2,10,15
10063311,37,15,2
10063329,2,37,15
10063353,2,21,19
10063362,37,15,2
10063517,22,15,2
10063524,13,15,19
10063535,13,15,10
10063583,15,37,2
10063786,48,37,10
10063792,10,15,48
10063840,36,15,26
10063954,37,2,15
10063980,36,37,2
10064000,37,2,15
10064001,37,12,36
10064029,36,10,12
10064036,37,48,2
10064137,36,2,37
10064231,36,18,15
10064232,15,2,37
10064272,36,37,15
10064452,2,15,18
10064509,12,39,19
10064535,12,37,15
10064542,48,10,15
10064559,36,15,37
10064592,10,37,18
10064770,37,48,15
10064792,36,19,25
10064847,15,48,37
10064959,15,36,37
10064962,48,15,37
10064969,37,21,15
10064976,37,36,15
10065051,26,2,37
10065052,48,37,2
10065097,10,12,2
10065129,37,2,15
10065134,15,37,2
10065198,15,21,39
10065375,37,15,36
10065448,37,18,15
10065527,37,39,2
10065545,37,6,2
10065583,2,37,15
10065588,37,15,2
10065589,37,12,48
10065664,6,37,2
10065702,2,37,15
10065758,48,22,37
10065812,22,37,2
10065834,15,37,2
10065874,10,37,48
10065914,37,36,15
10065930,6,37,36
10065938,37,10,15
10065940,10,37,2
10066010,2,37,15
10066043,36,48,37
10066104,36,15,10
10066442,15,36,10
10066473,48,2,15
10066596,37,2,15
10066617,37,10,48
10066676,10,15,2
10066724,36,37,15
10066747,10,12,37
10066817,19,2,15
10066844,2,37,15
10066920,10,2,15
10066949,37,12,2
10067003,37,2,15
10067032,10,36,2
10067033,13,10,36
10067163,2,15,37
10067222,36,15,10
10067348,37,2,15
10067472,15,36,48
10067499,15,2,10
10067539,37,15,2
10067547,13,36,37
10067587,37,15,2
10067590,12,37,2
10067639,12,18,39
10067646,36,37,10
10067729,37,2,15
10067741,37,2,15
10067810,2,12,13
10067826,37,6,15
10067941,37,2,36
10068013,37,2,15
10068030,37,2,12
10068036,18,13,15
10068044,15,10,2
10068049,37,15,2
10068060,15,48,10
10068090,37,36,2
10068146,36,13,37
10068183,36,37,10
10068184,36,37,19
10068255,2,10,19
10068281,37,12,10
10068290,36,37,15
10068332,37,15,22
10068339,37,10,2
10068531,12,19,37
10068552,10,19,2
10068601,2,15,37
10068626,12,37,15
10068693,37,19,2
10068733,10,15,2
10068789,2,39,18
10068866,15,12,2
10068880,37,19,15
10068950,10,2,15
10068989,37,48,2
10068995,36,15,37
10069032,36,15,19
10069088,48,10,37
10069097,37,2,15
10069182,37,48,2
10069215,37,2,15
10069251,2,15,19
10069265,10,19,39
10069289,37,2,15
10069346,36,15,37
10069407,10,13,48
10069429,12,2,37
10069431,48,15,2
10069451,15,2,19
10069526,36,15,37
10069578,13,2,12
10069591,15,2,37
10069634,12,37,2
10069805,36,48,6
10070032,10,37,39
10070054,37,10,15
10070077,36,37,15
10070094,36,10,12
10070103,37,15,2
10070149,10,48,2
10070170,37,10,15
10070211,2,15,37
10070267,6,15,2
10070277,48,2,37
10070304,10,37,12
